placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2024-10-17 00:00:00,2024-10-18 00:00:00,50,1,9,1,5,9,6,0,0,0,0,4,2,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-18 00:00:00,2024-10-19 00:00:00,122,1,39,8,13,13,10,3,6,3,0,7,5,4,3,4,2,1,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-19 00:00:00,2024-10-20 00:00:00,52,1,17,4,7,7,1,2,1,0,0,3,2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-20 00:00:00,2024-10-21 00:00:00,25,0,6,4,1,2,0,1,2,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-21 00:00:00,2024-10-22 00:00:00,179,3,55,11,15,20,14,11,4,4,0,14,6,3,9,1,5,3,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-22 00:00:00,2024-10-23 00:00:00,317,5,99,25,29,25,25,10,12,4,0,27,15,9,11,9,3,3,6,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-23 00:00:00,2024-10-24 00:00:00,630,13,186,48,27,62,51,35,21,20,1,52,20,14,22,25,16,10,4,0,0,1,0,1,0,0,0,0
fukui-station-east-entrance,Face,2024-10-24 00:00:00,2024-10-25 00:00:00,650,6,167,56,43,59,61,51,30,23,0,39,17,11,30,19,16,12,9,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-25 00:00:00,2024-10-26 00:00:00,711,4,194,62,35,62,57,36,35,19,0,50,32,22,30,35,21,9,8,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-26 00:00:00,2024-10-27 00:00:00,805,7,227,51,45,56,32,28,31,14,1,59,51,47,54,49,25,14,7,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-27 00:00:00,2024-10-28 00:00:00,410,3,105,13,22,38,19,16,11,9,1,37,22,29,32,29,12,6,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-28 00:00:00,2024-10-29 00:00:00,176,1,53,15,15,8,12,11,3,2,1,13,4,9,11,11,4,2,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-10-29 00:00:00,2024-10-30 00:00:00,619,7,190,41,43,73,61,28,21,20,0,26,19,20,24,20,11,7,6,0,0,0,0,1,0,0,0,0
fukui-station-east-entrance,Face,2024-10-30 00:00:00,2024-10-31 00:00:00,541,8,139,48,28,55,48,29,26,9,0,38,18,14,29,15,17,8,9,0,0,0,0,0,0,1,0,1
fukui-station-east-entrance,Face,2024-10-31 00:00:00,2024-11-01 00:00:00,543,8,156,37,28,53,39,30,28,16,0,36,21,18,19,23,13,8,10,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-01 00:00:00,2024-11-02 00:00:00,573,4,165,42,35,70,37,26,20,16,1,52,22,12,25,18,16,5,6,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-02 00:00:00,2024-11-03 00:00:00,1051,14,371,75,59,130,79,34,14,17,1,90,28,32,40,36,9,14,4,0,0,1,0,1,0,0,1,0
fukui-station-east-entrance,Face,2024-11-03 00:00:00,2024-11-04 00:00:00,1130,5,313,94,79,108,70,57,34,13,4,86,50,54,71,38,25,14,10,0,0,0,0,1,0,1,0,0
fukui-station-east-entrance,Face,2024-11-04 00:00:00,2024-11-05 00:00:00,989,9,291,79,57,108,59,41,20,19,1,78,37,46,50,38,24,17,8,0,1,0,0,0,0,1,0,0
fukui-station-east-entrance,Face,2024-11-05 00:00:00,2024-11-06 00:00:00,534,6,181,37,22,58,34,16,20,10,0,41,18,27,26,16,13,3,6,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-06 00:00:00,2024-11-07 00:00:00,564,8,151,43,39,60,42,19,30,19,1,32,25,22,21,17,8,14,12,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-07 00:00:00,2024-11-08 00:00:00,695,10,174,58,55,72,58,47,26,10,0,44,24,21,31,12,28,14,7,0,0,1,2,0,0,0,1,0
fukui-station-east-entrance,Face,2024-11-08 00:00:00,2024-11-09 00:00:00,708,8,215,43,46,81,47,46,36,10,1,41,31,22,32,27,10,9,2,0,0,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2024-11-09 00:00:00,2024-11-10 00:00:00,971,12,294,67,57,106,60,57,23,35,1,68,32,32,57,30,23,11,4,0,0,1,0,1,0,0,0,0
fukui-station-east-entrance,Face,2024-11-10 00:00:00,2024-11-11 00:00:00,945,8,271,55,59,80,76,44,34,21,0,80,45,33,56,29,27,14,11,0,0,0,0,0,0,0,0,0
