placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-1-gate,Face,2024-10-29 00:00:00,2024-10-30 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rainbow-line-parking-lot-1-gate,Face,2024-10-30 00:00:00,2024-10-31 00:00:00,28,0,2,1,0,3,2,2,3,4,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,5
rainbow-line-parking-lot-1-gate,Face,2024-10-31 00:00:00,2024-11-01 00:00:00,142,1,28,9,3,6,7,19,18,35,1,1,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,3
rainbow-line-parking-lot-1-gate,Face,2024-11-01 00:00:00,2024-11-02 00:00:00,202,0,27,10,4,6,15,19,45,28,0,0,0,2,3,6,3,2,2,0,0,0,0,0,0,0,0,21
rainbow-line-parking-lot-1-gate,Face,2024-11-02 00:00:00,2024-11-03 00:00:00,62,0,4,4,0,4,1,3,8,12,0,1,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,14
rainbow-line-parking-lot-1-gate,Face,2024-11-03 00:00:00,2024-11-04 00:00:00,1371,1,83,42,29,45,69,146,568,352,0,2,2,0,2,4,1,2,15,0,0,0,0,0,0,0,0,7
rainbow-line-parking-lot-1-gate,Face,2024-11-04 00:00:00,2024-11-05 00:00:00,1767,1,131,72,46,73,78,182,636,496,0,2,0,1,5,5,4,4,20,0,0,0,0,0,0,0,0,7
rainbow-line-parking-lot-1-gate,Face,2024-11-05 00:00:00,2024-11-06 00:00:00,322,0,51,13,6,20,21,31,62,56,0,2,2,8,3,3,5,6,5,0,0,0,0,0,0,0,0,23
rainbow-line-parking-lot-1-gate,Face,2024-11-06 00:00:00,2024-11-07 00:00:00,320,0,22,5,7,14,18,38,109,74,0,4,1,1,0,3,7,3,7,0,0,0,0,0,0,0,0,7
rainbow-line-parking-lot-1-gate,Face,2024-11-07 00:00:00,2024-11-08 00:00:00,63,0,3,3,3,8,8,9,6,3,0,0,0,3,2,3,2,4,2,0,0,0,0,0,0,0,0,3
rainbow-line-parking-lot-1-gate,Face,2024-11-08 00:00:00,2024-11-09 00:00:00,177,0,17,16,4,12,11,15,37,36,0,0,2,2,3,5,4,3,7,0,0,0,0,0,0,0,0,2
rainbow-line-parking-lot-1-gate,Face,2024-11-09 00:00:00,2024-11-10 00:00:00,482,0,54,20,23,62,39,46,134,70,0,2,3,4,7,5,5,2,6,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2024-11-10 00:00:00,2024-11-11 00:00:00,740,0,118,31,21,43,29,58,133,180,0,8,3,7,72,5,7,7,18,0,0,0,0,0,0,0,0,0
